"participant","seed","sort","image","final_img_pos","posX","posY"
"207",7,"Sort2","F15hap_c","[-214. -223.]",-214,-223
"207",7,"Sort2","M17sad_o","[ 501.   75.]",501,75
"207",7,"Sort2","M14neut_o","[ 501.  224.]",501,224
"207",7,"Sort2","M15surp_o","[-643.  224.]",-643,224
"207",7,"Sort2","F22sad_c","[-643. -223.]",-643,-223
"207",7,"Sort2","M02ang_c","[-643.  -74.]",-643,-74
"207",7,"Sort2","F04ang_o","[ 644. -223.]",644,-223
"207",7,"Sort2","M04disg_c","[ 644. -372.]",644,-372
"207",7,"Sort2","F01fear_c","[ 72. -74.]",72,-74
"207",7,"Sort2","F14surp_c","[-500.  224.]",-500,224
"207",7,"Sort2","F13exc_o","[-214. -372.]",-214,-372
"207",7,"Sort2","F07neut_c","[-71. -74.]",-71,-74
"207",7,"Sort2","M08fear_o","[ 358.   75.]",358,75
"208",8,"Practice","bird","[-357.  -74.]",-357,-74
"208",8,"Practice","car","[ 215. -223.]",215,-223
"208",8,"Practice","bus","[ 358.  -74.]",358,-74
"208",8,"Practice","squirrel","[-357. -223.]",-357,-223
"208",8,"Practice","table","[ -71.  224.]",-71,224
"208",8,"Sort1","M07surp_c","[ 358.   75.]",358,75
"208",8,"Sort1","M07exc_o","[-214.  224.]",-214,224
"208",8,"Sort1","M07calm_o","[ 501.  -74.]",501,-74
"208",8,"Sort1","M07ang_o","[-500.  -74.]",-500,-74
"208",8,"Sort1","M07disg_o","[-357.  -74.]",-357,-74
"208",8,"Sort1","M07sad_o","[ -71. -223.]",-71,-223
"208",8,"Sort1","M07neut_o","[  72. -223.]",72,-223
"208",8,"Sort1","M07exc_c","[ 644.  -74.]",644,-74
"208",8,"Sort1","M07fear_c","[ -71.  224.]",-71,224
"208",8,"Sort1","M07ang_c","[-500. -223.]",-500,-223
"208",8,"Sort1","M07hap_c","[ 501.   75.]",501,75
"208",8,"Sort1","M07sad_c","[ -71. -372.]",-71,-372
"208",8,"Sort1","M07surp_o","[ 358.  -74.]",358,-74
"208",8,"Sort1","M07neut_c","[ 215.  224.]",215,224
"208",8,"Sort1","M07fear_o","[  72.  224.]",72,224
"208",8,"Sort1","M07disg_c","[-357. -223.]",-357,-223
"208",8,"Sort1","M07calm_c","[ 644.   75.]",644,75
"208",8,"Sort1","M07hap_o","[ 501. -223.]",501,-223
"208",8,"Sort2","M08fear_o","[ 215.   75.]",215,75
"208",8,"Sort2","M03calm_c","[-500.  224.]",-500,224
"208",8,"Sort2","M14neut_o","[ -71. -223.]",-71,-223
"208",8,"Sort2","F04ang_o","[  72. -223.]",72,-223
"208",8,"Sort2","M12hap_o","[-357.   75.]",-357,75
"208",8,"Sort2","M17sad_o","[-357. -223.]",-357,-223
"208",8,"Sort2","F01fear_c","[-500. -372.]",-500,-372
"208",8,"Sort2","F10disg_o","[ 215. -223.]",215,-223
"208",8,"Sort2","M02ang_c","[-500. -223.]",-500,-223
"208",8,"Sort2","F17calm_o","[-357.  224.]",-357,224
"208",8,"Sort2","M05exc_c","[-214.  224.]",-214,224
"208",8,"Sort2","F22sad_c","[-357. -372.]",-357,-372
"208",8,"Sort2","M15surp_o","[ 358.   75.]",358,75
"208",8,"Sort2","F14surp_c","[ 501.   75.]",501,75
"208",8,"Sort2","F13exc_o","[-214.   75.]",-214,75
"208",8,"Sort2","F07neut_c","[ 72. -74.]",72,-74
"208",8,"Sort2","F15hap_c","[-500.   75.]",-500,75
"208",8,"Sort2","M04disg_c","[-214. -223.]",-214,-223
"209",9,"Practice","car","[-214.   75.]",-214,75
"209",9,"Practice","squirrel","[ 215.   75.]",215,75
"209",9,"Practice","bus","[-214.  -74.]",-214,-74
"209",9,"Practice","table","[  72. -372.]",72,-372
