"Subj","Word_Category","Order","Word","Exclude","word_fix","temp_combo","duplicate"
132,"Emotion",2,"happy",0,"happy","132 happy",0
132,"Emotion",3,"laugh",0,"laugh","132 laugh",0
133,"Animal",1,"cow",0,"cow","133 cow",0
133,"Animal",2,"horse",0,"horse","133 horse",0
133,"Animal",3,"sheep",0,"sheep","133 sheep",0
133,"Animal",4,"cat",0,"cat","133 cat",0
133,"Emotion",1,"happy",0,"happy","133 happy",0
133,"Emotion",2,"angry",0,"angry","133 angry",0
133,"Emotion",3,"mad",0,"mad","133 mad",0
133,"Emotion",4,"sad",0,"sad","133 sad",0
134,"Animal",1,"zebra",0,"zebra","134 zebra",0
134,"Animal",2,"giraffe",0,"giraffe","134 giraffe",0
134,"Animal",3,"narwhal",0,"narwhal","134 narwhal",0
134,"Animal",4,"kitty",0,"kitty","134 kitty",0
134,"Animal",5,"bunny",0,"bunny","134 bunny",0
134,"Animal",6,"cat",0,"cat","134 cat",0
134,"Animal",7,"chicken",0,"chicken","134 chicken",0
134,"Animal",8,"dog",0,"dog","134 dog",0
134,"Animal",9,"trex",0,"trex","134 trex",0
134,"Animal",10,"gecko",0,"gecko","134 gecko",0
134,"Animal",11,"lizard",0,"lizard","134 lizard",0
134,"Animal",12,"chameleon",0,"chameleon","134 chameleon",0
134,"Animal",13,"fish",0,"fish","134 fish",0
134,"Emotion",1,"scared",0,"scared","134 scared",0
134,"Emotion",2,"nervous",0,"nervous","134 nervous",0
134,"Emotion",3,"surprise",0,"surprise","134 surprise",0
134,"Emotion",4,"happy",0,"happy","134 happy",0
134,"Emotion",5,"sad",0,"sad","134 sad",0
134,"Emotion",6,"mad",0,"mad","134 mad",0
134,"Emotion",7,"disappointed",0,"disappointed","134 disappointed",0
135,"Animal",1,"unicorn",0,"unicorn","135 unicorn",0
135,"Animal",2,"tiger",0,"tiger","135 tiger",0
135,"Animal",3,"giraffe",0,"giraffe","135 giraffe",0
135,"Animal",4,"penguin",0,"penguin","135 penguin",0
135,"Animal",5,"kitty",0,"kitty","135 kitty",0
135,"Animal",6,"zebra",0,"zebra","135 zebra",0
135,"Animal",7,"fish",0,"fish","135 fish",0
135,"Animal",8,"kangaroo",0,"kangaroo","135 kangaroo",0
135,"Animal",9,"cheetah",0,"cheetah","135 cheetah",0
135,"Emotion",NA,NA,NA,NA,"135 NA",0
136,"Animal",1,"tiger",0,"tiger","136 tiger",0
136,"Animal",2,"elephant",0,"elephant","136 elephant",0
136,"Animal",3,"zebra",0,"zebra","136 zebra",0
136,"Animal",4,"monkey",0,"monkey","136 monkey",0
136,"Animal",5,"chimpanzee",0,"chimpanzee","136 chimpanzee",0
136,"Animal",6,"gorilla",0,"gorilla","136 gorilla",0
136,"Animal",7,"giraffe",0,"giraffe","136 giraffe",0
