"participant","seed","sort","image","final_img_pos","posX","posY"
"187",187,"Practice","bus","[ 215.   75.]",215,75
"187",187,"Practice","bird","[-500. -223.]",-500,-223
"187",187,"Practice","squirrel","[-500.  224.]",-500,224
"187",187,"Practice","car","[ 501.   75.]",501,75
"187",187,"Practice","table","[ 644.  373.]",644,373
"187",187,"Sort1","M07sad_o","[ 358.  224.]",358,224
"187",187,"Sort1","M07fear_o","[ -71.  224.]",-71,224
"187",187,"Sort1","M07sad_c","[ 644.  224.]",644,224
"187",187,"Sort1","M07hap_o","[-500.  224.]",-500,224
"187",187,"Sort1","M07surp_c","[-357.  -74.]",-357,-74
"187",187,"Sort1","M07exc_c","[-500.   75.]",-500,75
"187",187,"Sort1","M07surp_o","[-71. -74.]",-71,-74
"187",187,"Sort1","M07neut_c","[-214.  224.]",-214,224
"187",187,"Sort1","M07fear_c","[-500. -223.]",-500,-223
"187",187,"Sort1","M07hap_c","[ 215.  -74.]",215,-74
"187",187,"Sort1","M07exc_o","[ -71. -223.]",-71,-223
"187",187,"Sort1","M07disg_c","[ 358.  373.]",358,373
"187",187,"Sort1","M07neut_o","[-500. -372.]",-500,-372
"187",187,"Sort1","M07ang_o","[-214.  -74.]",-214,-74
"187",187,"Sort1","M07calm_c","[ 358.  -74.]",358,-74
"187",187,"Sort1","M07calm_o","[  72. -223.]",72,-223
"187",187,"Sort1","M07disg_o","[  72.  224.]",72,224
"187",187,"Sort1","M07ang_c","[-214. -223.]",-214,-223
"187",187,"Sort2","M17sad_o","[ 215.   75.]",215,75
"187",187,"Sort2","F13exc_o","[-643. -223.]",-643,-223
"187",187,"Sort2","F22sad_c","[-71.  75.]",-71,75
"187",187,"Sort2","M04disg_c","[ 644. -372.]",644,-372
"187",187,"Sort2","M08fear_o","[ 501. -223.]",501,-223
"187",187,"Sort2","F10disg_o","[ 501. -372.]",501,-372
"187",187,"Sort2","M15surp_o","[-500. -223.]",-500,-223
"187",187,"Sort2","F14surp_c","[ 644. -223.]",644,-223
"187",187,"Sort2","M02ang_c","[ 72.  75.]",72,75
"187",187,"Sort2","M05exc_c","[-357. -223.]",-357,-223
"187",187,"Sort2","M03calm_c","[ 358. -223.]",358,-223
"187",187,"Sort2","F07neut_c","[-214. -223.]",-214,-223
"187",187,"Sort2","F01fear_c","[-643. -372.]",-643,-372
"187",187,"Sort2","F04ang_o","[ 358. -372.]",358,-372
"187",187,"Sort2","F15hap_c","[ -71. -223.]",-71,-223
"187",187,"Sort2","M14neut_o","[ 215. -223.]",215,-223
"187",187,"Sort2","M12hap_o","[  72. -223.]",72,-223
"187",187,"Sort2","F17calm_o","[-500. -372.]",-500,-372
"188",188,"Practice","bird","[ 72. -74.]",72,-74
"188",188,"Practice","table","[-500.  -74.]",-500,-74
"188",188,"Practice","bus","[-214. -372.]",-214,-372
"188",188,"Practice","car","[ -71. -372.]",-71,-372
"188",188,"Practice","squirrel","[-214. -223.]",-214,-223
"188",188,"Sort1","M07surp_c","[ 358.  -74.]",358,-74
"188",188,"Sort1","M07neut_c","[  72. -372.]",72,-372
"188",188,"Sort1","M07calm_c","[ 501.  -74.]",501,-74
"188",188,"Sort1","M07neut_o","[ 72.  75.]",72,75
"188",188,"Sort1","M07fear_o","[-214. -223.]",-214,-223
"188",188,"Sort1","M07ang_c","[  72. -223.]",72,-223
"188",188,"Sort1","M07sad_c","[-357. -223.]",-357,-223
"188",188,"Sort1","M07ang_o","[ -71. -223.]",-71,-223
"188",188,"Sort1","M07exc_c","[ 644.  -74.]",644,-74
"188",188,"Sort1","M07disg_c","[ 215. -223.]",215,-223
"188",188,"Sort1","M07calm_o","[ 215.  -74.]",215,-74
"188",188,"Sort1","M07hap_o","[ 72. -74.]",72,-74
"188",188,"Sort1","M07disg_o","[ 358. -223.]",358,-223
"188",188,"Sort1","M07hap_c","[-71. -74.]",-71,-74
"188",188,"Sort1","M07sad_o","[-500. -223.]",-500,-223
"188",188,"Sort1","M07surp_o","[-214.  -74.]",-214,-74
"188",188,"Sort1","M07fear_c","[ 215. -372.]",215,-372
"188",188,"Sort1","M07exc_o","[ -71. -372.]",-71,-372
"188",188,"Sort2","M08fear_o","[-71. -74.]",-71,-74
"188",188,"Sort2","F14surp_c","[  72. -372.]",72,-372
"188",188,"Sort2","F15hap_c","[-357. -223.]",-357,-223
"188",188,"Sort2","F01fear_c","[ -71. -372.]",-71,-372
"188",188,"Sort2","F13exc_o","[-214. -223.]",-214,-223
"188",188,"Sort2","F17calm_o","[ -71. -223.]",-71,-223
"188",188,"Sort2","F22sad_c","[ 215. -372.]",215,-372
"188",188,"Sort2","F04ang_o","[-214. -372.]",-214,-372
"188",188,"Sort2","F10disg_o","[-357. -372.]",-357,-372
"188",188,"Sort2","F07neut_c","[ 358. -372.]",358,-372
"188",188,"Sort2","M14neut_o","[-214.  -74.]",-214,-74
"188",188,"Sort2","M04disg_c","[-357.  -74.]",-357,-74
"188",188,"Sort2","M12hap_o","[ 72. -74.]",72,-74
"188",188,"Sort2","M05exc_c","[ 215.  -74.]",215,-74
"188",188,"Sort2","M17sad_o","[-500.  -74.]",-500,-74
"188",188,"Sort2","M15surp_o","[ 358.  -74.]",358,-74
"188",188,"Sort2","M02ang_c","[-643.  -74.]",-643,-74
"188",188,"Sort2","M03calm_c","[ 501.  -74.]",501,-74
"189",189,"Practice","squirrel","[-500.  373.]",-500,373
"189",189,"Practice","table","[ 644. -372.]",644,-372
"189",189,"Practice","bus","[-643. -372.]",-643,-372
"189",189,"Practice","car","[ 644.  373.]",644,373
"189",189,"Practice","bird","[  72. -372.]",72,-372
"189",189,"Sort1","M07surp_o","[-643.  373.]",-643,373
"189",189,"Sort1","M07hap_o","[-500.  373.]",-500,373
"189",189,"Sort1","M07calm_c","[-643.   75.]",-643,75
"189",189,"Sort1","M07exc_o","[-643.  -74.]",-643,-74
"189",189,"Sort1","M07sad_c","[ 644.   75.]",644,75
"189",189,"Sort1","M07ang_o","[ 644. -372.]",644,-372
"189",189,"Sort1","M07fear_o","[ 501. -372.]",501,-372
"189",189,"Sort1","M07hap_c","[-643.  224.]",-643,224
"189",189,"Sort1","M07neut_c","[-500.   75.]",-500,75
"189",189,"Sort1","M07surp_c","[-357.  224.]",-357,224
"189",189,"Sort1","M07neut_o","[-500.  224.]",-500,224
"189",189,"Sort1","M07ang_c","[ 501. -223.]",501,-223
"189",189,"Sort1","M07calm_o","[-500.  -74.]",-500,-74
"189",189,"Sort1","M07sad_o","[ 501.   75.]",501,75
"189",189,"Sort1","M07fear_c","[-357.  -74.]",-357,-74
"189",189,"Sort1","M07disg_c","[ 644. -223.]",644,-223
